id,douban_id,name,year,rating
0,26363254,战狼2,2017,7.5
1,1849031,当幸福来敲门 The Pursuit of Happyness,2006,8.9
2,26289138,李雷和韩梅梅,2017,3.0
3,2567647,福音战士新剧场版：Q ヱヴァンゲリヲン新劇場版：Q,2012,8.3
4,24753810,战狼,2015,6.8
5,25815034,湄公河行动,2016,8.0
6,26260853,速度与激情8 The Fate of the Furious,2017,7.1
7,10807909,智取威虎山,2014,7.7
8,10727641,碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,2015,7.7
9,23788440,杀破狼2 殺破狼2,2015,7.3
10,26270502,绣春刀II：修罗战场,2017,7.6
11,25765735,金刚狼3：殊死一战 Logan,2017,8.3
12,1578714,神奇女侠 Wonder Woman,2017,7.2
13,3025447,金蝉脱壳 Escape Plan,2013,7.6
14,1292720,阿甘正传 Forrest Gump,1994,9.4
15,1292052,肖申克的救赎 The Shawshank Redemption,1994,9.6
16,3793023,三傻大闹宝莱坞 3 Idiots,2009,9.1
17,3011091,忠犬八公的故事 Hachi: A Dog's Tale,2009,9.2
18,2209573,贫民窟的百万富翁 Slumdog Millionaire,2008,8.5
19,1298653,荒岛余生 Cast Away,2000,8.4
20,6786002,触不可及 Intouchables,2011,9.1
21,4023638,国王的演讲 The King's Speech,2010,8.3
22,3792799,岁月神偷 歲月神偷,2010,8.6
23,1292656,心灵捕手 Good Will Hunting,1997,8.7
24,26787124,青禾男高,2017,4.4
25,26831709,十七岁的雨季,2017,
26,26650037,秘果,2017,5.0
27,26290642,致青春·原来你还在这里,2016,4.0
28,26611083,在世界中心呼唤爱,2016,4.2
29,24847340,小时代3：刺金时代,2014,4.3
30,25911694,摆渡人,2016,4.0
31,26301582,微微一笑很倾城,2016,5.1
32,26323026,临时演员,2017,3.7
33,26259634,何以笙箫默,2015,3.6
34,2567646,福音战士新剧场版：破 ヱヴァンゲリヲン新劇場版：破,2009,9.2
35,1308892,新世纪福音战士剧场版：Air/真心为你 新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,1997,9.4
36,3187790,空之境界 第五章 矛盾螺旋 劇場版 空の境界 第五章 矛盾螺旋,2008,9.2
37,4074292,凉宫春日的消失 涼宮ハルヒの消失,2010,9.0
38,3908423,夏日大作战 サマーウォーズ,2009,8.6
39,1291936,攻壳机动队 攻殻機動隊,1995,8.9
40,7051373,剑风传奇 黄金时代篇2：多尔多雷攻略 ベルセルク 黄金時代篇II ドルドレイ攻略,2012,8.5
41,1422063,最终幻想7：圣子降临 ファイナルファンタジーVII アドベントチルドレン,2005,8.2
42,10569151,剧场版魔法少女小圆 新篇 叛逆的故事 劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語,2013,8.8
43,1865703,红辣椒 パプリカ,2006,8.8
44,24695277,一个人的武林,2014,6.2
45,11610281,敢死队3 The Expendables 3,2014,6.7
46,20277632,飓风营救3 Taken 3,2014,6.3
47,23761370,速度与激情7 Furious 7,2015,8.3
48,3082452,狼牙,2008,6.1
49,5996801,狄仁杰之神都龙王,2013,6.5
50,25798448,解救吾先生,2015,7.8
51,24405378,王牌特工：特工学院 Kingsman: The Secret Service,2015,8.4
52,24719063,烈日灼心,2015,7.9
53,20505982,寒战2 寒戰II,2016,6.9
54,26284621,追凶者也,2016,7.6
55,1305487,猫鼠游戏 Catch Me If You Can,2002,8.7
56,26266072,谍影重重5 Jason Bourne,2016,7.3
57,25820460,美国队长3 Captain America: Civil War,2016,7.7
58,3068206,碟中谍4 Mission: Impossible - Ghost Protocol,2011,8.2
59,25919910,师父,2015,8.1
60,25823132,暗杀 암살,2015,8.0
61,3821067,一代宗师 一代宗師,2013,7.7
62,6390823,美国队长2 Captain America: The Winter Soldier,2014,7.9
63,1578507,谍影重重3 The Bourne Ultimatum,2007,8.7
64,6845667,秘密特工 The Man from U.N.C.L.E.,2015,8.0
65,1866473,蚁人 Ant-Man,2015,7.6
66,3592854,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,2015,8.5
67,1428602,杀破狼 殺破狼,2005,7.2
68,10535562,突袭2：暴徒 The Raid 2: Berandal,2014,7.8
69,10763164,扫毒 掃毒,2013,7.2
70,10344754,毒战 毒戰,2012,7.2
71,24745500,绣春刀,2014,7.5
72,1301168,卧虎藏龙 臥虎藏龍,2000,7.9
73,26667056,逆时营救,2017,4.9
74,2303845,刺客聂隐娘,2015,7.2
75,10485647,X战警：逆转未来 X-Men: Days of Future Past,2014,8.2
76,1866479,复仇者联盟 The Avengers,2012,8.0
77,25937854,银河护卫队2 Guardians of the Galaxy Vol. 2,2017,8.2
78,3395373,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,2012,8.5
79,4746257,明日边缘 Edge of Tomorrow,2014,8.0
80,3025375,奇异博士 Doctor Strange,2016,7.7
81,1889243,星际穿越 Interstellar,2014,9.1
82,25786060,X战警：天启 X-Men: Apocalypse,2016,7.8
83,24750534,蝙蝠侠大战超人：正义黎明 Batman v Superman: Dawn of Justice,2016,6.6
84,25894431,星球大战外传：侠盗一号 Rogue One: A Star Wars Story,2016,7.3
85,22939161,星际迷航3：超越星辰 Star Trek Beyond,2016,7.3
86,2124586,飓风营救 Taken,2008,8.2
87,6537500,速度与激情6 Furious 6,2013,7.7
88,10746175,惊天危机 White House Down,2013,7.3
89,10598440,空中营救 Non-Stop,2014,7.5
90,6040982,敢死队2 The Expendables 2,2012,6.8
91,7916027,赤焰战场2 Red 2,2013,7.1
92,1292001,海上钢琴师 La leggenda del pianista sull'oceano,1998,9.2
93,1291546,霸王别姬,1993,9.5
94,1291828,天堂电影院 Nuovo Cinema Paradiso,1988,9.1
95,1295644,这个杀手不太冷 Léon,1994,9.4
96,1295124,辛德勒的名单 Schindler's List,1993,9.4
97,1292849,拯救大兵瑞恩 Saving Private Ryan,1998,8.8
98,1292224,飞越疯人院 One Flew Over the Cuckoo's Nest,1975,9.0
99,1298624,闻香识女人 Scent of a Woman,1992,8.9
100,1292064,楚门的世界 The Truman Show,1998,9.0
101,1306249,唐伯虎点秋香 唐伯虎點秋香,1993,8.4
102,1316510,射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993,8.7
103,1299398,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,1995,8.9
104,1302425,喜剧之王 喜劇之王,1999,8.5
105,1297518,九品芝麻官,1994,8.1
106,1482072,穿普拉达的女王 The Devil Wears Prada,2006,7.9
107,10741643,我的个神啊 PK,2014,8.3
108,10777687,7号房的礼物 7번방의 선물,2013,8.6
109,1291560,龙猫 となりのトトロ,1988,9.1
110,21937452,素媛 소원,2013,9.1
111,4917726,阳光姐妹淘 써니,2011,8.8
112,2149806,入殓师 おくりびと,2008,8.8
113,4202302,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,2010,8.7
114,2213597,朗读者 The Reader,2008,8.5
115,1293839,罗马假日 Roman Holiday,1953,8.9
116,1292722,泰坦尼克号 Titanic,1997,9.2
117,1292274,幸福终点站 The Terminal,2004,8.6
118,4164444,127小时 127 Hours,2010,8.1
119,1309016,百万美元宝贝 Million Dollar Baby,2004,8.5
120,1419936,战争之王 Lord of War,2005,8.5
121,4798888,叫我第一名 Front of the Class,2008,8.6
122,1418519,铁拳男人 Cinderella Man,2005,8.7
123,1907966,疯狂原始人 The Croods,2013,8.7
124,10577869,时空恋旅人 About Time,2013,8.6
125,1292401,真爱至上 Love Actually,2003,8.5
126,3205624,社交网络 The Social Network,2010,8.1
127,1306029,美丽心灵 A Beautiful Mind,2001,8.9
128,5977835,桃姐,2011,8.2
129,1292063,美丽人生 La vita è bella,1997,9.5
130,1291818,饮食男女 飲食男女,1994,9.0
131,1303037,喜宴,1993,8.8
132,1291548,死亡诗社 Dead Poets Society,1989,8.9
133,1291875,阳光灿烂的日子,1994,8.7
134,3319755,怦然心动 Flipped,2010,8.9
135,1292528,猜火车 Trainspotting,1996,8.5
136,1292402,西西里的美丽传说 Malèna,2000,8.7
137,1291549,放牛班的春天 Les choristes,2004,9.2
138,26956641,小情书,2017,6.3
139,25908065,我们的十年,2016,4.8
140,26596836,以爱为名 以愛為名,2017,
141,26761334,我心雀跃,2016,6.7
142,26354526,睡在我上铺的兄弟,2016,5.0
143,27029154,北极星,2017,
144,27039657,爱情开始的地方之遇见,2017,
145,25911613,梦幻佳期,2015,3.1
146,26628239,老师也疯狂,2016,3.6
147,26959527,女人永远是对的 聖女奇緣,2017,4.0
148,26866820,斗艳,2016,3.0
149,20445319,爱你一生一世,2012,3.8
150,26354028,我们停战吧 我們停戰吧,2015,5.0
151,26386558,为爱放手,2015,3.3
152,26677981,夏天19岁的肖像,2017,4.8
153,27081814,山无棱天地合,2017,
154,26647053,一刻十年,2015,3.8
155,25830800,泡沫之夏,2016,2.6
156,26352435,指甲刀人魔,2017,4.4
157,25843976,夏有乔木 雅望天堂,2016,4.7
158,25858759,有一个地方只有我们知道,2015,4.9
159,25911595,第三种爱情,2015,5.1
160,25745752,左耳,2015,5.4
161,26411409,怦然星动,2015,4.3
162,25831308,露水红颜,2014,4.8
163,25779218,匆匆那年,2014,5.3
164,26673217,我是处女座,2016,3.0
165,26271094,谎言西西里,2016,4.8
166,25962735,既然青春留不住,2015,4.5
167,24721493,小时代2：青木时代,2013,4.9
168,24843198,同桌的妳,2014,5.8
169,25777330,闺蜜,2014,5.4
170,19973815,分手合约,2013,5.7
171,26021055,栀子花开,2015,4.1
172,25713408,一生一世,2014,5.1
173,26389069,铁道飞虎,2016,5.1
174,26290365,恶棍天使,2015,4.0
175,26389696,大闹天竺,2017,3.8
176,24879858,分手大师,2014,5.0
177,26662192,王牌逗王牌,2016,3.3
178,26320029,万万没想到,2015,5.6
179,25908042,横冲直撞好莱坞,2015,4.5
180,26334559,澳门风云3 賭城風雲III,2016,3.9
181,26284595,大话西游3,2016,3.6
182,25849475,新娘大作战,2015,3.9
183,26322809,杜拉拉追婚记,2015,5.3
184,26394441,我最好朋友的婚礼,2016,4.3
185,26287783,不期而遇,2017,3.9
186,26961684,玛格丽特的春天,2017,3.1
187,26815856,疯岳撬佳人,2017,3.3
188,26674021,爱情冻住了 我的蛋男情人,2016,5.3
189,26850326,欢乐喜剧人,2017,2.5
190,27036467,麻辣学院,2017,
191,26614395,勿忘初心,2015,2.6
192,26745210,假装看不见之电影大师,2016,2.6
193,25780584,我是女王,2015,4.1
194,26263443,恋爱中的城市,2015,5.6
195,25945356,新步步惊心,2015,4.1
196,1968790,福音战士新剧场版：序 ヱヴァンゲリヲン新劇場版：序,2007,9.1
197,1455442,新世纪福音战士剧场版：死与新生 新世紀エヴァンゲリオン劇場版 シト新生,1997,9.2
198,1297359,幽灵公主 もののけ姫,1997,8.8
199,1291585,风之谷 風の谷のナウシカ,1984,8.8
200,1307897,回忆三部曲 Memories,1995,8.8
201,1307031,星际牛仔：天国之门 カウボーイビバップ 天国の扉,2001,8.8
202,1292347,黑客帝国动画版 The Animatrix,2003,8.7
203,2354908,空之境界 第三章 痛觉残留 劇場版 空の境界 第三章 痛覚残留,2008,8.8
204,10428479,命运之夜原型 Fate/Prototype,2011,8.7
205,3227319,幸运星OVA らき☆すた OVA,2008,8.9
206,3160947,团子大家族：另一个世界 智代篇 もうひとつの世界 智代編,2008,8.5
207,2135983,空中杀手 スカイ・クロラ The Sky Crawlers,2008,8.0
208,1764361,四月一日灵异事件簿剧场版：仲夏夜之梦 劇場版xxxHOLiC 真夏ノ夜ノ夢,2005,8.5
209,5403927,轻音少女 剧场版 映画 けいおん！,2011,8.8
210,4122194,银魂剧场版：新译红樱篇 劇場版 銀魂 新訳紅桜篇,2010,9.1
211,10521690,命运石之门：横行跋扈的浪荡之徒 STEINS;GATE 横行跋扈のポリオマニア,2012,9.1
212,1937946,穿越时空的少女 時をかける少女,2006,8.6
213,1848925,恶童 鉄コン筋クリート,2006,8.6
214,1307811,魔女宅急便 魔女の宅急便,1989,8.4
215,1291583,天空之城 天空の城ラピュタ,1986,9.0
216,1291838,红猪 紅の豚,1992,8.3
217,1310177,东京教父 東京ゴッドファーザーズ,2003,8.8
218,1304970,猫的报恩 猫の恩返し,2002,7.9
219,1308807,哈尔的移动城堡 ハウルの動く城,2004,8.9
220,1291566,攻壳机动队2：无罪 攻殻機動隊2 イノセンス,2004,9.0
221,1302770,阿基拉 Akira,1988,8.3
222,1306255,人狼,1999,8.6
223,1307394,千年女优 千年女優,2001,8.5
224,7051375,剑风传奇 黄金时代篇3：降临 ベルセルク 黄金時代篇III 降臨,2013,8.7
225,2277204,异邦人：无皇刃谭 ストレンヂア 無皇刃譚,2007,8.4
226,1306982,吸血鬼猎人D Vampire Hunter D: Bloodlust,2000,8.6
227,1421884,兽兵卫忍风帖 獣兵衛忍風帖,1993,8.5
228,3727748,天元突破剧场版：螺岩篇 劇場版 天元突破グレンラガン 螺巌篇,2009,9.1
229,1448755,钢之炼金术师：香巴拉的征服者 鋼の錬金術師 シャンバラを征く者,2005,8.3
230,2354897,空之境界 第一章 俯瞰风景 劇場版 空の境界 第一章 俯瞰風景,2007,8.6
231,1308983,苹果核战记 アップルシード,2004,7.5
232,10569150,剧场版魔法少女小圆 后篇 永远的故事 劇場版 魔法少女まどか☆マギカ [後編] 永遠の物語,2012,8.9
233,11499092,空之境界 未来福音 劇場版 空の境界 未来福音,2013,9.0
234,24460604,少女与战车 剧场版 ガールズ＆パンツァー 劇場版,2015,9.0
235,4925418,伤物语1：铁血篇 傷物語Ⅰ 鉄血篇,2016,8.1
236,10727053,偶像大师特别篇：765事务所的故事 THE IDOLM@STER 765プロという物語,2012,8.5
237,25957232,双斩少女 TV未放送话 キルラキル さよならをもう一度,2014,8.8
238,1395091,未麻的部屋 Perfect Blue,1997,8.8
239,1477916,心理游戏 マインド・ゲーム,2004,8.9
240,25444447,黄飞鸿之英雄有梦,2014,5.4
241,25709273,痞子英雄2：黎明升起 痞子英雄2：黎明再起,2014,5.4
242,23126901,特殊身份,2013,3.9
243,6041199,太极侠 Man of Tai Chi,2013,5.4
244,20266753,警察故事2013,2013,5.7
245,10604851,恶战 惡戰,2014,6.2
246,1478926,龙虎门,2006,5.7
247,6973460,冰封：重生之门,2014,3.6
248,4097023,新少林寺,2011,5.8
249,20257326,极品飞车 Need for Speed,2014,7.2
250,3718269,暴力街区 Brick Mansions,2014,6.9
251,4312428,虎胆龙威5 A Good Day to Die Hard,2013,6.2
252,3018122,玩命快递3 Transporter 3,2008,6.9
253,4301181,特种部队2：全面反击 G.I. Joe: Retaliation,2013,6.4
254,11601131,家园防线 Homefront,2013,6.2
255,3606971,飓风营救2 Taken 2,2012,6.7
256,11620560,007：幽灵党 Spectre,2015,6.2
257,24718797,玩命速递：重启之战 The Transporter Refueled,2015,5.9
258,10743974,奥林匹斯的陷落 Olympus Has Fallen,2013,6.3
259,25757186,伦敦陷落 London Has Fallen,2016,6.1
260,21977761,暗夜逐仇 Run All Night,2015,6.7
261,21350962,代号47 Hitman: Agent 47,2015,5.9
262,1851857,蝙蝠侠：黑暗骑士 The Dark Knight,2008,9.0
263,1307914,无间道 無間道,2002,9.0
264,1307186,飞鹰,2004,5.2
265,2359450,夺帅 奪帥,2008,5.9
266,1302786,天脉传奇,2002,5.4
267,3792816,精武风云·陈真,2010,6.0
268,2080133,男儿本色,2007,6.8
269,2222995,硬汉,2008,6.1
270,3002819,花花型警,2008,5.7
271,3002820,神枪手 神槍手,2009,5.8
272,1939414,功夫之王 The Forbidden Kingdom,2008,5.2
273,3412830,狄仁杰之通天帝国,2010,6.4
274,4212172,十二生肖,2012,6.7
275,20388198,风暴 風暴,2013,6.4
276,10573695,太极2：英雄崛起,2012,6.0
277,25917973,心迷宫,2014,8.6
278,21360417,恐怖直播 더 테러 라이브,2013,8.7
279,3804891,无人区,2013,8.1
280,21318488,消失的爱人 Gone Girl,2014,8.7
281,25752261,女间谍 Spy,2015,7.5
282,3742360,让子弹飞,2010,8.7
283,11525673,布达佩斯大饭店 The Grand Budapest Hotel,2014,8.7
284,7065154,银河护卫队 Guardians of the Galaxy,2014,8.0
285,24743711,催眠大师,2014,7.6
286,24875534,十二公民,2014,8.2
287,6890730,寒战 寒戰,2012,7.4
288,26336253,使徒行者,2016,6.7
289,25662337,惊天魔盗团2 Now You See Me 2,2016,6.5
290,25662327,火锅英雄,2016,7.2
291,3006309,追击者 추격자,2008,8.4
292,26311973,唐人街探案,2015,7.4
293,1428175,血钻 Blood Diamond,2006,8.5
294,1301578,十一罗汉 Ocean's Eleven,2001,7.9
295,1292223,七宗罪 Se7en,1995,8.7
296,1307542,火柴人 Matchstick Men,2003,8.1
297,1292214,非常嫌疑犯 The Usual Suspects,1995,8.6
298,1292348,洛城机密 L.A. Confidential,1997,8.6
299,1760622,香水 Perfume: The Story of a Murderer,2006,8.4
300,26220717,危机13小时 13 Hours: The Secret Soldiers of Benghazi,2016,7.6
301,10741834,复仇者联盟2：奥创纪元 Avengers: Age of Ultron,2015,7.1
302,1432146,钢铁侠 Iron Man,2008,7.8
303,25864085,火星救援 The Martian,2015,8.4
304,6560058,雷神2：黑暗世界 Thor: The Dark World,2013,7.4
305,1401533,碟中谍3 Mission: Impossible III,2006,7.3
306,4286017,速度与激情5 Fast Five,2011,8.4
307,1292728,勇闯夺命岛 The Rock,1996,8.5
308,1292659,变脸 Face/Off,1997,8.4
309,7564989,箭士柳白猿,2012,7.2
310,1292287,新龙门客栈 新龍門客棧,1992,8.4
311,6425116,倭寇的踪迹,2011,7.1
312,6886518,柏林 베를린,2013,7.3
313,5502697,夺宝联盟 도둑들,2012,7.1
314,25728010,老手 베테랑,2015,7.5
315,20388224,绝密跟踪 감시자들,2013,7.6
316,1292328,东邪西毒 東邪西毒,1994,8.6
317,1291580,杀死比尔 Kill Bill: Vol. 1,2003,8.1
318,3231742,钢铁侠3 Iron Man 3,2013,7.5
319,3642843,星际迷航2：暗黑无界 Star Trek Into Darkness,2013,7.9
320,6082518,超凡蜘蛛侠2 The Amazing Spider-Man 2,2014,7.3
321,1308767,谍影重重2 The Bourne Supremacy,2004,8.5
322,1947549,生死狙击 Shooter,2007,7.7
323,1300618,空中监狱 Con Air,1997,8.1
324,1292697,虎胆龙威 Die Hard,1988,8.1
325,1292553,真实的谎言 True Lies,1994,8.1
326,1806555,热血警探 Hot Fuzz,2007,8.3
327,3718279,死侍 Deadpool,2016,7.5
328,24750126,荒蛮故事 Relatos salvajes,2014,8.7
329,10440138,侏罗纪世界 Jurassic World,2015,7.7
330,1291843,黑客帝国 The Matrix,1999,8.8
331,1309046,V字仇杀队 V for Vendetta,2005,8.8
332,2044102,导火线 導火線,2007,6.9
333,1292895,精武英雄,1994,8.1
334,1308713,拳霸 องค์บาก,2003,7.8
335,1299250,给爸爸的信 給爸爸的信,1995,7.6
336,3041806,叶问 葉問,2008,7.5
337,1297068,中南海保镖,1994,7.3
338,1300303,我是谁 我是誰,1998,7.3
339,1417555,冬荫功 ต้มยำกุ้ง,2005,7.2
340,1296011,红番区 紅番區,1995,7.3
341,6771529,突袭 The Raid,2011,7.5
342,1292326,暴力街区 Banlieue 13,2004,8.0
343,4304402,精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,2010,8.7
344,26333560,疾速特攻 John Wick: Chapter Two,2017,7.3
345,3012013,伸冤人 The Equalizer,2014,7.4
346,4133814,线人 線人,2010,7.3
347,11510624,全民目击,2013,7.6
348,3312344,证人,2008,7.2
349,11501396,边境风云,2012,7.7
350,3532614,夺命金 奪命金,2011,7.2
351,2027938,神探,2007,8.4
352,1890784,门徒 門徒,2007,7.5
353,1299782,非常突然,1998,8.0
354,3412882,窃听风云 竊聽風雲,2009,7.4
355,1294417,笑傲江湖2：东方不败 笑傲江湖II東方不敗,1992,8.3
356,4896304,龙门飞甲,2011,6.7
357,1298443,黄飞鸿 黃飛鴻,1991,7.9
358,1306123,英雄,2002,6.8
359,1297763,方世玉,1993,7.7
360,1306490,侠女 俠女,1970,8.4
361,26313973,我是证人,2015,6.1
362,27034867,异兽来袭,2017,
363,25824686,变形金刚5：最后的骑士 Transformers: The Last Knight,2017,4.9
364,26266924,中国推销员,2017,4.2
365,26602933,绑架者,2017,4.9
366,26365631,冲天火,2016,3.6
367,26589957,守护者：世纪战元 Защитники,2017,4.0
368,25881615,超凡战队 Power Rangers,2017,4.7
369,26757373,捉迷藏,2016,5.4
370,1459054,龙门客栈 龍門客棧,1967,8.0
371,1303451,海上花,1998,8.0
372,1301136,空山灵雨 空山靈雨,1979,8.4
373,1307898,迎春阁之风波 迎春閣之風波,1973,8.2
374,3168089,X战警：第一战 X-Men: First Class,2011,8.1
375,1652587,阿凡达 Avatar,2009,8.6
376,1794171,变形金刚 Transformers,2007,8.1
377,1309069,蝙蝠侠：侠影之谜 Batman Begins,2005,8.2
378,3075287,源代码 Source Code,2011,8.3
379,5323968,环太平洋 Pacific Rim,2013,7.6
380,3793783,地心引力 Gravity,2013,7.8
381,25726614,神奇动物在哪里 Fantastic Beasts and Where to Find Them,2016,7.8
382,3541415,盗梦空间 Inception,2010,9.2
383,2300586,这个男人来自地球 The Man from Earth,2007,8.5
384,2049435,超人：钢铁之躯 Man of Steel,2013,6.8
385,1972698,守望者 Watchmen,2009,8.0
386,20326665,星球大战7：原力觉醒 Star Wars: The Force Awakens,2015,7.1
387,21324900,降临 Arrival,2016,7.7
388,1401535,虎胆龙威4 Live Free or Die Hard,2007,7.6
389,2132930,速度与激情4 Fast & Furious,2009,7.6
390,3104794,赤焰战场 Red,2010,7.5
391,2174535,天龙特攻队 The A-Team,2010,7.6
392,3279080,敢死队 The Expendables,2010,6.7
393,1440855,第一滴血4 Rambo,2008,7.2
394,3006783,机械师 The Mechanic,2011,6.9
395,1306737,极限特工 xXx,2002,7.3
396,3024838,独行侠 The Lone Ranger,2013,7.0
397,1419974,玩命快递2 Transporter 2,2005,7.2
398,1300267,乱世佳人 Gone with the Wind,1939,9.2
399,1292679,春光乍泄 春光乍洩,1997,8.8
400,1297447,倩女幽魂,1987,8.6
401,1303021,小鞋子 بچههای آسمان,1997,9.2
402,1292215,天使爱美丽 Le fabuleux destin d'Amélie Poulain,2001,8.7
403,1291858,鬼子来了,2000,9.2
404,1900841,窃听风暴 Das Leben der Anderen,2006,9.1
405,1296736,钢琴家 The Pianist,2002,9.0
406,1291824,黑鹰坠落 Black Hawk Down,2001,8.5
407,1293182,十二怒汉 12 Angry Men,1957,9.4
408,1292365,活着,1994,9.1
409,1293351,食神,1996,7.7
410,1297223,鹿鼎记 鹿鼎記,1992,7.8
411,1307739,国产凌凌漆 國產凌凌漆,1994,8.1
412,1329936,大内密探零零发 大內密探零零發,1996,7.6
413,1302090,逃学威龙 逃學威龍,1991,7.5
414,1297863,武状元苏乞儿,1992,7.4
415,1291543,功夫,2004,7.9
416,1303173,甲方乙方,1997,8.2
417,1292213,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1995,9.2
418,1300498,百变星君 百變星君,1995,7.2
419,1298644,赌圣 賭聖,1990,7.4
420,1305355,审死官 審死官,1992,7.4
421,1305065,公主日记 The Princess Diaries,2001,7.5
422,1293088,小鬼当家 Home Alone,1990,8.1
423,1304854,律政俏佳人 Legally Blonde,2001,7.2
424,1291550,天下无贼,2004,7.6
425,1292286,我的野蛮女友 엽기적인 그녀,2001,8.1
426,19945757,偶滴神啊 OMG: Oh My God!,2012,8.4
427,25964071,夏洛特烦恼,2015,7.4
428,24879820,奇怪的她 수상한 그녀,2014,8.3
429,25662329,疯狂动物城 Zootopia,2016,9.2
430,4915857,神偷奶爸2 Despicable Me 2,2013,8.0
431,6019180,开心家族 헬로우 고스트,2010,8.5
432,4861627,和声 하모니,2010,8.5
433,4230918,结婚礼服 웨딩드레스,2010,8.4
434,5908478,我爱你 그대를 사랑합니다,2011,9.0
435,1291561,千与千寻 千と千尋の神隠し,2001,9.2
436,1293359,菊次郎的夏天 菊次郎の夏,1999,8.7
